 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
19,106.059,106.453,105.526,107.159,105.145,126.964,108.211,108.521,114.264,111.905,109.902,112.784,107.798,106.758,107.419,107.389,113.036,114.602,116.908,121.132
20,106.089,106.262,105.440,109.352,106.561,124.517,107.794,108.461,113.600,111.308,109.411,112.252,107.642,106.654,107.161,107.358,112.521,113.648,115.554,121.114
21,107.002,106.003,105.312,114.529,107.349,121.212,107.475,108.505,113.093,110.816,109.202,111.752,107.639,106.760,107.061,108.784,112.894,112.535,114.668,119.265
22,111.683,105.744,105.214,114.187,107.213,118.676,107.176,108.452,112.564,110.446,108.946,111.238,107.596,106.731,106.934,110.844,119.996,111.510,113.959,117.864
23,111.819,105.640,105.125,112.600,106.908,116.982,106.969,108.422,112.177,110.102,108.748,110.726,107.599,106.713,106.784,110.814,119.347,110.880,114.266,116.338
24,111.003,105.464,105.564,111.277,106.713,115.739,106.707,108.405,111.880,109.810,108.574,110.355,107.498,106.674,106.770,110.522,117.058,110.309,121.077,115.467
25,110.323,105.349,108.287,110.271,106.493,116.567,106.613,108.382,111.591,109.656,108.529,109.976,107.542,106.688,106.755,110.135,115.528,109.963,120.643,114.490
26,109.600,105.264,108.377,109.428,106.282,126.222,106.575,108.391,111.265,109.444,108.395,109.723,107.623,106.755,107.806,109.761,114.310,109.658,118.697,114.079
27,109.053,105.273,107.859,108.785,106.131,125.546,106.491,108.349,110.987,109.202,108.276,109.439,107.434,106.866,108.317,109.402,113.410,113.510,117.016,117.694
28,108.457,105.243,107.353,108.268,105.952,121.808,106.316,109.414,110.876,109.163,108.352,109.172,107.570,106.712,108.098,109.205,112.686,114.525,115.681,121.540
29,107.979,105.495,106.870,107.743,105.817,119.267,107.144,112.454,110.673,109.067,108.249,109.081,107.547,106.685,107.882,108.914,112.282,113.203,114.910,119.804
30,107.726,107.156,106.525,107.473,105.722,117.415,112.421,112.444,110.560,109.008,108.205,108.836,107.523,106.697,107.597,108.738,118.678,112.124,114.107,118.208
31,107.368,107.086,106.220,107.193,105.598,115.917,112.671,112.034,110.420,108.879,108.197,108.806,107.446,106.778,107.380,108.487,120.040,111.223,113.562,116.945
32,107.110,106.798,105.985,108.329,105.479,115.563,111.462,111.516,110.384,108.892,108.246,108.660,107.542,106.660,107.208,108.389,117.671,110.584,119.718,115.832
33,106.973,106.582,105.797,114.072,105.448,124.858,110.282,111.049,110.249,108.791,108.156,108.563,107.551,106.754,107.030,108.211,116.004,110.282,121.255,115.015
34,106.730,106.272,105.542,114.205,105.330,126.416,109.380,110.611,110.235,108.725,108.341,108.423,107.481,106.707,106.934,108.058,114.567,109.697,119.230,114.286
35,106.655,106.036,105.410,112.827,105.378,122.577,108.828,110.290,110.195,108.903,111.585,108.393,107.479,106.708,106.855,108.016,113.640,111.123,117.512,115.539
36,106.532,105.818,105.316,111.320,105.304,119.762,108.344,109.994,110.204,111.852,112.689,108.286,107.605,106.757,106.847,107.917,112.908,114.514,116.052,121.888
37,106.472,105.677,105.258,110.407,105.307,117.909,107.820,109.737,110.143,112.553,111.985,108.394,107.495,106.835,106.708,107.861,112.368,113.605,115.060,120.686
38,106.448,105.552,106.277,109.600,105.279,116.050,107.541,109.533,110.129,112.081,111.175,108.294,107.563,108.865,106.690,107.813,115.576,112.368,114.265,118.589
39,106.314,105.379,108.481,108.893,105.154,115.072,107.057,109.303,110.014,111.542,110.537,108.292,107.459,109.888,106.637,107.653,120.641,111.509,113.641,117.187
40,106.289,105.336,108.285,108.220,105.178,122.736,106.993,109.110,109.963,111.013,109.931,108.139,107.479,109.717,106.688,107.667,118.354,110.740,119.367,116.112
41,106.224,105.218,107.785,107.879,105.163,127.075,106.869,109.018,110.040,110.742,109.547,108.255,107.584,109.414,106.573,107.661,116.567,110.256,121.171,115.131
