 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
158,109.325,108.236,110.120,109.153,109.852,111.056,109.802,107.386,108.963
159,110.975,112.024,109.762,109.161,109.054,109.937,108.767,108.038,108.435
160,111.692,111.554,109.465,110.260,108.497,110.777,109.508,108.671,107.977
161,110.357,110.544,111.848,109.577,107.972,112.161,109.333,108.108,107.687
162,109.365,109.761,112.727,108.852,107.676,110.358,108.529,107.558,108.049
163,109.901,109.047,111.842,109.985,107.496,109.340,109.778,107.322,109.421
164,111.961,108.544,111.022,109.862,107.370,112.035,109.345,108.764,108.886
165,110.682,108.220,110.489,109.177,109.778,111.295,108.503,108.415,108.362
166,109.607,108.027,109.963,108.999,109.502,109.998,109.857,107.773,107.916
167,109.308,111.369,109.607,110.274,108.818,110.293,108.811,107.314,107.606
168,112.128,111.785,109.556,109.494,108.248,112.244,108.851,108.201,107.414
169,110.907,110.726,112.639,108.870,107.746,110.585,110.006,108.643,107.356
170,109.903,109.853,112.368,109.853,107.491,109.598,108.964,108.104,107.169
171,109.119,109.208,111.506,109.954,107.334,111.912,109.403,107.561,107.487
172,111.686,108.697,110.735,109.239,108.401,111.478,109.604,107.400,109.159
173,111.235,108.330,110.262,108.915,110.019,110.140,108.595,108.762,108.645
174,110.013,108.049,109.809,110.306,109.130,110.224,109.435,108.313,108.107
175,109.201,110.480,109.575,109.549,108.550,112.086,109.346,107.732,107.790
176,111.070,111.915,109.310,108.887,107.997,110.622,108.419,107.344,107.461
177,111.507,110.922,111.832,109.749,107.755,109.704,109.993,108.339,108.773
178,110.306,110.004,112.497,110.020,107.443,111.980,109.129,108.633,109.228
179,109.384,109.335,111.653,109.217,107.222,111.396,108.614,108.087,108.641
180,110.270,108.709,110.931,108.834,109.602,109.986,109.885,107.485,108.217
181,111.730,108.386,110.251,110.293,109.603,109.980,108.769,107.564,107.820
182,110.512,108.069,109.845,109.669,108.895,112.219,108.950,108.706,107.645
183,109.416,110.373,109.544,108.911,108.213,110.467,109.750,108.238,109.270
184,109.578,112.008,109.387,109.523,107.831,109.558,108.787,107.780,109.068
185,112.069,110.969,111.750,110.093,107.530,111.508,109.521,107.306,108.527
186,110.797,109.918,112.594,109.270,107.315,111.563,109.456,108.501,108.167
187,109.850,109.342,111.652,108.885,108.434,110.207,108.535,108.587,107.752
188,109.136,108.734,110.885,110.318,110.016,109.870,109.776,107.985,108.388
189,111.932,108.387,110.337,109.671,109.239,112.261,109.262,107.462,109.382
190,111.127,108.142,109.986,109.021,108.578,110.865,108.516,107.710,108.832
191,109.987,109.434,109.644,109.544,107.960,109.769,110.073,108.832,108.323
192,109.171,112.105,109.404,110.156,107.654,111.120,109.129,108.300,107.937
